# Instrument-source: 'templateSANS2.instr'
# Date: Wed Oct 09 15 38 2024
# Ncount: 10000000
# Numpoints: 10
# Param: LD = 1
# type: multiarray_1d(10)
# title: Scan of LD
# xlabel: 'LD'
# ylabel: 'Intensity'
# xvars: LD
# yvars: (Sample_in_I,Sample_in_ERR) (detector_I,detector_ERR) (detectorSANS_I,detectorSANS_ERR) (detectorDB_I,detectorDB_ERR) (Ldetector_I,Ldetector_ERR) (PSDrad_I,PSDrad_ERR) (PSDrad_I,PSDrad_ERR) (PSDrad_full_I,PSDrad_full_ERR) (PSDrad_full_I,PSDrad_full_ERR)
# xlimits: 1 10
# filename: mccode.dat
# variables: LD Sample_in_I Sample_in_ERR detector_I detector_ERR detectorSANS_I detectorSANS_ERR detectorDB_I detectorDB_ERR Ldetector_I Ldetector_ERR PSDrad_I PSDrad_ERR PSDrad_I PSDrad_ERR PSDrad_full_I PSDrad_full_ERR PSDrad_full_I PSDrad_full_ERR
1 4042.6 1.30128 14.2914 0.00284489 14.2914 0.00284489 0 0 11.8986 0.00259035 13.7668 0.00279256 76426.4 19.7195 13.7668 0.00279256 76426.4 19.7195
2 4042.45 1.30126 12.3488 0.00271591 12.3488 0.00271591 0 0 10.2822 0.0024726 12.1973 0.00271162 40273.8 8.38741 12.1973 0.00271162 40273.8 8.38741
3 4042.56 1.30128 11.9373 0.00270657 11.9373 0.00270657 0 0 9.93731 0.00246377 11.861 0.00270549 26951.9 5.39095 11.861 0.00270549 26951.9 5.39095
4 4042.52 1.30127 11.7644 0.0027036 11.7644 0.0027036 0 0 9.7931 0.00246118 11.7094 0.00270303 20193.4 4.05821 11.7094 0.00270303 20193.4 4.05821
5 4042.6 1.30128 11.6651 0.0027033 11.6651 0.0027033 0 0 9.71314 0.00246113 11.6127 0.00270272 16132.7 3.2881 11.6127 0.00270272 16132.7 3.2881
6 4042.47 1.30126 11.5796 0.00270229 11.5796 0.00270229 0 0 9.63705 0.00245969 11.5331 0.00270182 13417.5 2.77576 11.5331 0.00270182 13417.5 2.77576
7 4042.5 1.30127 11.52 0.00270254 11.52 0.00270254 0 0 9.58785 0.00245968 11.4657 0.00270169 11484.6 2.41049 11.4657 0.00270169 11484.6 2.41049
8 4042.71 1.3013 11.4153 0.0026995 11.4153 0.0026995 0 0 9.50585 0.00245758 11.3115 0.00269708 10013.8 2.13174 11.3115 0.00269708 10013.8 2.13174
9 4042.79 1.30131 11.3055 0.00269743 11.3055 0.00269743 0 0 9.41047 0.00245536 11.1943 0.00269494 8878.6 1.91345 11.1943 0.00269494 8878.6 1.91345
10 4042.81 1.30132 11.2165 0.0026951 11.2165 0.0026951 0 0 9.33477 0.00245325 11.1409 0.00269365 7975.71 1.73713 11.1409 0.00269365 7975.71 1.73713
