# Instrument-source: 'templateSANS2.instr'
# Date: Wed Oct 09 15 33 2024
# Ncount: 10000000
# Numpoints: 11
# Param: r = 50
# type: multiarray_1d(11)
# title: Scan of r
# xlabel: 'r'
# ylabel: 'Intensity'
# xvars: r
# yvars: (Sample_in_I,Sample_in_ERR) (detector_I,detector_ERR) (detectorSANS_I,detectorSANS_ERR) (detectorDB_I,detectorDB_ERR) (Ldetector_I,Ldetector_ERR) (PSDrad_I,PSDrad_ERR) (PSDrad_I,PSDrad_ERR) (PSDrad_full_I,PSDrad_full_ERR) (PSDrad_full_I,PSDrad_full_ERR)
# xlimits: 50 550
# filename: mccode.dat
# variables: r Sample_in_I Sample_in_ERR detector_I detector_ERR detectorSANS_I detectorSANS_ERR detectorDB_I detectorDB_ERR Ldetector_I Ldetector_ERR PSDrad_I PSDrad_ERR PSDrad_I PSDrad_ERR PSDrad_full_I PSDrad_full_ERR PSDrad_full_I PSDrad_full_ERR
50 4042.44 1.30126 4.0747 0.000937608 4.0747 0.000937608 0 0 3.39304 0.000853666 3.97258 0.000932008 3072.6 0.578985 3.97258 0.000932008 3072.6 0.578985
100 4042.8 1.30132 8.03402 0.00181414 8.03402 0.00181414 0 0 6.68685 0.00165128 7.95602 0.00181244 12069.3 2.33007 7.95602 0.00181244 12069.3 2.33007
150 4042.9 1.30133 11.9393 0.00270666 11.9393 0.00270666 0 0 9.94178 0.00246431 11.863 0.00270558 26958.9 5.39224 11.863 0.00270558 26958.9 5.39224
200 4042.54 1.30128 15.8263 0.00360149 15.8263 0.00360149 0 0 13.1753 0.00327864 15.7528 0.00360074 47597.7 9.89721 15.7528 0.00360074 47597.7 9.89721
250 4042.44 1.30126 19.7059 0.00449666 19.7059 0.00449666 0 0 16.4077 0.00409392 19.6335 0.00449607 73818 15.9679 19.6335 0.00449607 73818 15.9679
300 4042.9 1.30133 23.5845 0.00539246 23.5845 0.00539246 0 0 19.6364 0.00490958 23.5132 0.00539199 105458 23.7116 23.5132 0.00539199 105458 23.7116
350 4042.09 1.3012 27.4464 0.006286 27.4464 0.006286 0 0 22.8498 0.0057228 27.3757 0.0062856 142143 33.1689 27.3757 0.0062856 142143 33.1689
400 4042.49 1.30127 31.3067 0.00717937 31.3067 0.00717937 0 0 26.058 0.00653506 31.2365 0.00717902 183704 44.3459 31.2365 0.00717902 183704 44.3459
450 4042.99 1.30135 35.1854 0.0080751 35.1854 0.0080751 0 0 29.2916 0.00735162 35.1155 0.0080748 229881 57.2091 35.1155 0.0080748 229881 57.2091
500 4042.75 1.30131 39.0202 0.00896481 39.0202 0.00896481 0 0 32.4803 0.00816059 38.9506 0.00896454 280070 71.7003 38.9506 0.00896454 280070 71.7003
550 4042.78 1.30131 42.8618 0.00985495 42.8618 0.00985495 0 0 35.6838 0.008972 42.7925 0.0098547 334180 87.6633 42.7925 0.0098547 334180 87.6633
